faixa_etaria,ano,internacoes
Menor 1 ano,2021,13731
1 a 4 anos,2021,10838
5 a 9 anos,2021,6389
10 a 14 anos,2021,6293
15 a 19 anos,2021,21886
20 a 29 anos,2021,51327
30 a 39 anos,2021,32029
40 a 49 anos,2021,19798
50 a 59 anos,2021,16790
60 a 69 anos,2021,16963
70 a 79 anos,2021,11730
80 anos e mais,2021,7514
Menor 1 ano,2022,13959
1 a 4 anos,2022,12843
5 a 9 anos,2022,7433
10 a 14 anos,2022,5999
15 a 19 anos,2022,19298
20 a 29 anos,2022,48413
30 a 39 anos,2022,31704
40 a 49 anos,2022,20468
50 a 59 anos,2022,16841
60 a 69 anos,2022,17239
70 a 79 anos,2022,11952
80 anos e mais,2022,7743
Menor 1 ano,2023,14467
1 a 4 anos,2023,13791
5 a 9 anos,2023,7813
10 a 14 anos,2023,6111
15 a 19 anos,2023,19006
20 a 29 anos,2023,47027
30 a 39 anos,2023,31314
40 a 49 anos,2023,20991
50 a 59 anos,2023,17803
60 a 69 anos,2023,18060
70 a 79 anos,2023,12184
80 anos e mais,2023,7588
Menor 1 ano,2024,14940
1 a 4 anos,2024,13679
5 a 9 anos,2024,8214
10 a 14 anos,2024,6882
15 a 19 anos,2024,18645
20 a 29 anos,2024,49842
30 a 39 anos,2024,33909
40 a 49 anos,2024,23516
50 a 59 anos,2024,19315
60 a 69 anos,2024,19536
70 a 79 anos,2024,13996
80 anos e mais,2024,8370
Menor 1 ano,2025,16394
1 a 4 anos,2025,14496
5 a 9 anos,2025,9312
10 a 14 anos,2025,7467
15 a 19 anos,2025,21142
20 a 29 anos,2025,55151
30 a 39 anos,2025,37613
40 a 49 anos,2025,26977
50 a 59 anos,2025,23535
60 a 69 anos,2025,22976
70 a 79 anos,2025,16265
80 anos e mais,2025,9690
