faixa_etaria,ano,taxa_mortalidade
Menor 1 ano,2021,3.1
1 a 4 anos,2021,0.78
5 a 9 anos,2021,0.74
10 a 14 anos,2021,0.73
15 a 19 anos,2021,0.42
20 a 29 anos,2021,0.78
30 a 39 anos,2021,2.18
40 a 49 anos,2021,5.88
50 a 59 anos,2021,10.51
60 a 69 anos,2021,14.98
70 a 79 anos,2021,20.46
80 anos e mais,2021,27.47
Menor 1 ano,2022,3.12
1 a 4 anos,2022,0.81
5 a 9 anos,2022,0.54
10 a 14 anos,2022,0.78
15 a 19 anos,2022,0.37
20 a 29 anos,2022,0.57
30 a 39 anos,2022,1.09
40 a 49 anos,2022,3.05
50 a 59 anos,2022,5.76
60 a 69 anos,2022,8.23
70 a 79 anos,2022,12.87
80 anos e mais,2022,20.47
Menor 1 ano,2023,2.88
1 a 4 anos,2023,0.82
5 a 9 anos,2023,0.63
10 a 14 anos,2023,0.67
15 a 19 anos,2023,0.41
20 a 29 anos,2023,0.59
30 a 39 anos,2023,1.17
40 a 49 anos,2023,2.96
50 a 59 anos,2023,5.17
60 a 69 anos,2023,7.5
70 a 79 anos,2023,11.47
80 anos e mais,2023,18.5
Menor 1 ano,2024,2.82
1 a 4 anos,2024,0.5
5 a 9 anos,2024,0.39
10 a 14 anos,2024,0.61
15 a 19 anos,2024,0.41
20 a 29 anos,2024,0.59
30 a 39 anos,2024,1.24
40 a 49 anos,2024,2.85
50 a 59 anos,2024,4.79
60 a 69 anos,2024,7.07
70 a 79 anos,2024,11.17
80 anos e mais,2024,17.36
Menor 1 ano,2025,2.76
1 a 4 anos,2025,0.46
5 a 9 anos,2025,0.46
10 a 14 anos,2025,0.63
15 a 19 anos,2025,0.4
20 a 29 anos,2025,0.57
30 a 39 anos,2025,1.13
40 a 49 anos,2025,2.5
50 a 59 anos,2025,4.36
60 a 69 anos,2025,6.34
70 a 79 anos,2025,10.29
80 anos e mais,2025,16.53
